Team,PF,FIP_PF,ESPN_PF,League
Rockies,115,106,1.394,NL
Rangers,109,104,1.245,AL
Red Sox,105,99,1.063,AL
Indians,104,100,0.972,AL
Orioles,102,104,1.088,AL
Royals,102,98,1.074,AL
Reds,102,102,1.038,NL
Nationals,102,102,1.101,NL
Tigers,101,101,1.107,AL
Twins,101,101,0.975,AL
Braves,101,99,1.003,NL
Brewers,101,101,0.976,NL
Yankees,100,102,0.816,AL
Blue Jays,100,101,1.031,AL
Diamondbacks,100,99,0.977,NL
Cubs,100,100,0.931,NL
Phillies,100,102,1.047,NL
Angels,98,100,1.018,AL
White Sox,98,101,0.966,AL
Pirates,98,100,1.004,NL
Athletics,97,98,0.887,AL
Astros,97,99,1.083,AL
Padres,97,99,0.86,NL
Mariners,96,98,0.952,AL
Rays,96,97,0.895,AL
Dodgers,96,98,0.905,NL
Cardinals,96,98,0.917,NL
Giants,96,94,0.798,NL
Marlins,95,97,1.087,NL
Mets,94,98,0.891,NL
